悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
立身栄達, りっしんえいだつ, 社会的に高い地位や身分を得ること。 「立身」は、社会的な地位を得ること
立身出世, りっしんしゅっせ, 社会的に高い地位について、世間に名を知られるようになること
理非曲直, りひきょくちょく, 物事の「善と悪」や「正と邪」のこと。道徳的に正しいことと間違っていること
裏面工作, りめんこうさく, 表に出ないところで、目的を達成するために働きかけること。秘密裏に対策を講じること
流言飛語, りゅうげんひご, 世の中で言いふらされる根拠のない噂話。デマ
流星光底, りゅうせいこうてい, 流星のように一瞬の間だけ煌きらめく光。 振り下ろした刀が一瞬輝くことを、流れ星の輝きに喩えた言葉
良玉精金, りょうぎょくせいきん, 穏やかで純粋な性格のこと。 良質な金属と立派な宝玉という意味
量才録用, りょうさいろくよう, その人の才能や力量をよく見計らって、その能力を充分に生かす地位に登用すること
量入制出, りょうにゅうせいしゅつ, 収入を計算して、その後に支出を計上すること。健全な財政
良薬苦口, りょうやくくこう, 病気に効く良い薬は、苦くて飲みにくいが効果があるという意味
慮外千万, りょがいせんばん, きわめて意外なこと。思いもかけないひどいこと
緑林白波, りょくりんはくは, 泥棒や盗賊の異称。また、その潜伏場所を表す
理路整然, りろせいぜん, 文章や話の筋道が秩序立てた論理で展開されていること。 「理路」は筋道のこと
励声一番, れいせいいちばん, 大切な場面で声を張り上げること。 威勢のよい掛け声
連日連夜, れんじつれんや, 幾日も幾夜も続けて。毎日毎夜
老気横秋, ろうきおうしゅう, 年老いても気力が充実していること
老少不定, ろうしょうふじょう, 仏教用語で、人間の寿命は年に関係ないので予測できないという意味。 老人が先に死に、若者が後から死ぬとは限らないこと
老若男女, ろうにゃくなんにょ, 年齢・性別に関わらない、あらゆる人々
六十耳順, ろくじゅうじじゅん, 六十歳になると、異なる考えも素直に受け入れることができるということ。 「六十にして耳みみ順したがう」と読み下す
和顔愛語, わがんあいご, 仏教経典で菩薩の和やかな表情を表す。 親しみやすく暖かい態度のこと
四月一日, わたぬき, 日本人の姓。 春になって暖かくなると、冬の間に防寒として着ていた服から、詰めてある綿わたを抜いていた
和風細雨, わふうさいう, 穏やかに吹く風と、静かにしとしとと降る細かい雨のこと
一大決心, いちだいけっしん, 生涯に何度もないような重大な決意。 「一大」は、「大」の中でも一番の意で、名詞の頭につけて合成語をつくる。
一人当千, いちにんとうせん, 非常に大きな力や実力があること。きわめて勇気のあること。一人の力が千人の力にも匹敵する意から。
一別以来, いちべついらい, 最後に会ってからこのかた。この前別れてから今まで。
一文半銭, いちもんはんせん, ごくわずかの金銭のたとえ。
一遊一予, いちゆういちよ,  一度の遊び。一度の楽しみ。
一心一徳, いっしんいっとく, 多くの人が共通の利益のために心を一つにして団結すること。
一刀三礼, いっとうさんらい, 仏像などを彫る態度が敬虔(けいけん)であること。仏像を彫刻するとき、ひと彫りごとに三度礼拝する意から。
一徳一心, いっとくいっしん, 多くの人が、共通の利益のために心を一つにして団結すること。「徳を一にし心を一にす」とも読む。
一飯千金, いっぱんせんきん, わずか恵に対しても十分な恩返しをすること。一度受けた食事の恵みには、千金の恩があるという意。
岡目八目, おかめはちもく, 当事者よりも第三者のほうが、情勢や損得などを正しく判断できること。
回光反照, かいこうへんしょう, 自分本来の姿を振り返り、反省して修行すること。または、日が沈む前に夕日の照り返しで一瞬明るくなるということから、死の間際に息を吹き返すこと。
家給人足, かきゅうじんそく, 安定していて豊かな生活のこと。「給」と「足」はどちらも満ち足りているという意味。
花朝月夕, かちょうげっせき, 春と秋の心地よい天気の時期。または、春と秋の季節の楽しみのこと。
高山流水, こうざんりゅうすい, 素晴らしい演奏や音楽のたとえ。または、自分のことを心から理解してくれる親友のこと。
作史三長, さくしのさんちょう, 才知、学問、識見という三つの能力のことで、歴史家が歴史書を書いたり、編集したりするために必要な能力をいう。
三界無安, さんがいむあん, 現世で生きることは、苦しいことや悩むことが多く、心が落ち着いて楽になることはないということ。
三界流転, さんがいるてん, 全ての生きているものは、三つの世界で生死を繰り返し続け、三つの世界を迷い続けるということ。
四十九日, しじゅうくにち, 仏教用語のひとつで、命日から数えて49日目に行う追善法要のことを指す。 
十死一生, じっしいっしょう, ほとんど助かる見込みがない状況でかろうじて助かること。
十風五雨, じゅうふうごう, 十日ごとに風が吹き、五日ごとに雨が降る、農耕に適した天候のこと。または、世の中が平和で穏やかな状態であることのたとえ。
四門出遊, しもんしゅつゆう, 釈迦が太子の時に、四つの門から外に出て老人、病人、死人、修行者を見つけて、出家を決意した伝説のこと。
春和景明, しゅんわけいめい, 春の日の天候が穏やかで、日の光が明るいこと。「春和」は春になって穏やかになった気候。「景明」は日光が明るい様子。
上行下効, じょうこうかこう, 上の立場の人が行動すると、下の立場の人はそれを見て学ぶということ。「効」は教わることや、真似をすること。
生死流転, しょうじるてん, 生まれては死に、死んでは生まれを何度も繰り返すこと。仏教の言葉で、悟りを得る事ができない人は、六道という六つの世界を巡り続けるということから。
小利大損, しょうりだいそん, 少しの利益を得ようとして、大きな利益を逃すこと。または、少しの利益を得ようとして、大損すること。
事理明白, じりめいはく, 物事の道理や筋道がはっきりとしていること。「事理」は物事の道理や筋道。「明白」ははっきりとしていてわかりやすいこと。
人心一新, じんしんいっしん, 人々の心を新しくすること。「人心」はたくさんの人々の心。「一新」は古いものを無くして、新しいものにすること。
心満意足, しんまんいそく, この上なく満たされた気持ちになること。「心満」と「意足」はどちらも心が満たされるという意味。
水村山郭, すいそんさんかく, 水辺の村と山里という意味。元は中国の江南地方ののどかな農村を表現した言葉。
生寄死帰, せいきしき, 人が生きているということは仮にこの世に身を寄せているだけで、死は自分の家に帰るかのように本来いるべき場所に帰ることだという意味。
精金良玉, せいきんりょうぎょく, 穏やかで純真な性格のたとえ。「精金」は不純物のない純粋な金属。「良玉」は美しい宝玉のこと。
雪月風花, せつげつふうか, 四季の季節ごとの美しい自然の風景。または、それらの風景を鑑賞して、詩歌を作る風流な様子のこと。
千村万落, せんそんばんらく, たくさんの村落。「千」と「万」は数が非常に多いことのたとえ。
大道不器, たいどうふき, 聖人が行う偉大な道は、普遍的で大きな働きをもつということ。「大道」は聖人が行う偉大な道。「器」は物を入れることしか使い道のない器のこと。
千五百秋, ちいほあき , 限りなく長い年月。永遠。
中通外直, ちゅうつうがいちょく, 君子の広い心には邪心がなく、行いは正しく、まっすぐなこと。君子のあり方を説いた言葉。
長安日辺, ちょうあんにっぺん, 非常に遠く離れている場所のこと。または、すぐれた才能と知恵があること。
長者三代, ちょうじゃさんだい, 金持ちの家は親子三代までもてばよいほうだということ。財産を築いた者の子が財産を使い、孫はさらに財産を浪費するという意味から。
長生不死, ちょうせいふし, いつまでも死なずに生き続けること。
打打発止, ちょうちょうはっし, 激しい議論を交わすこと。または刀などでお互いに激しく切り合って戦う様子を表す言葉。
天手古舞, てんてこまい, あわて騒ぐこと。忙しくて落ち着かないこと。
同文同種, どうぶんどうしゅ, 使われている文字と、人種が同じということ。「文」は文字。「種」は人種。
二百十日, にひゃくとおか, 立春の日から数えて210日目の日。 9月1日ごろになる。
博聞強記, はくぶんきょうき, 様々なことを聞き知っていて、その内容をしっかりと覚えていること。「博聞」は色々なことを聞き知っていること。「強記」はしっかりと覚えていること。
鼻元思案, はなもとじあん, 軽率な考えという意味。「鼻元」は鼻の付け根。「思案」は考えのこと。
万古千秋, ばんこせんしゅう, この上なく長い年月。永遠の歳月。「万古」は万年、永遠のたとえ。「千秋」は千年、長い年月のたとえ。
半知半解, はんちはんかい, 知っているだけでほとんど理解していないこと。「半知」は全体の半分だけ知っていること。「半解」は全体の半分だけ理解していること。
万万千千, ばんばんせんせん, 数がこの上なく多いことのたとえ。「万」と「千」は数が多いことのたとえで、繰り返して使うことで強調した言葉。
百川帰海, ひゃくせんきかい, 散り散りになっているものが一つに集まること。または、たくさんの人たちの意見や気持ちが一つになること。
真一文字, まいちもんじ, 「一」の字のようにまっすぐなこと。一直線であることや、わき目も振らないこと。
無茶苦茶, むちゃくちゃ, 物事の筋道が立たないこと。または、物事の程度をひどく超えていること。
有口無行, ゆうこうむこう, 口先だけで行動が伴わないこと。「有口」は口先だけがうまいこと。「無行」は行動しないこと。
良二千石, りょうにせんせき, よくその領内を治める地方長官。すぐれた知事。
六十六部, ろくじゅうろくぶ, 全国六六か所の霊場に一部ずつ納めて回るために書写した、六六部の法華経。また、それを納めて回る行脚僧。
一元描写, いちげんびょうしゃ, 小説の登場人物の動向や心理状態、事件の描写を、主人公一人の視点から一元的に表現すべきであるという小説作法。
異類中行, いるいちゅうぎょう, 多く人々を救済するために、仏や菩薩がこの世に身を置くこと。または、禅宗では指導者が修行者を導くために、様々な方法を取ること。
有相無相, うそうむそう, 姿・形をもっている存在と、姿・形によって現出させられた存在の本性。 現象と真理。 有象無象。
家常茶飯, かじょうさはん, 毎日起こるようなよくある出来事のこと。いつもと同じ茶と飯ということで、いつもの食事という意味から。
玉石同砕, ぎょくせきどうさい, すぐれているものや劣っているもの、賢者や愚者などがともに滅びてなくなること。宝石も石も一緒に砕けてなくなるという意味から。
黄中内潤, こうちゅうないじゅん, 才能や徳を外側に出すことなく、人知れず内側に持っていること。易経の五行説の言葉で、五色の色は青、赤、黄、白、黒という順番になるということから、「黄」は中央という意味。
深層心理, しんそうしんり, 普段生活しているときには意識されない、奥深いところに隠れている心理のこと。「心理」は心の動きや状態のこと。
生死肉骨, せいしにくこつ, どうすることもできない苦しい状況の者を救うこと。または、そのような状況から救ってもらった大恩のこと。
赤心奉国, せきしんほうこく, 誠意を込めて国のために尽くすこと。「赤心」は嘘のない本当の心という意味。
千古不易, せんこふえき, 永遠に変わらないこと。「千古」は大昔、または、遠い昔から現在まで長い時間のこと。「不易」は変わらないという意味。
大逆無道, たいぎゃくむどう, 道理や人の道からひどく外れた常軌を逸した行為のこと。「大逆」は君主や親を殺すなどの極悪な行い。「無道」は道理を無視した行いのこと。
弾丸雨注, だんがんうちゅう, 雨が激しく降るように、弾丸が降り注ぐこと。
朝過夕改, ちょうかせきかい, 犯した過ちをすぐに改めることのたとえ。朝に犯した過ちを夕方には改めるという意味から。
朝観夕覧, ちょうかんせきらん, 朝に見て、夕方にも見ること。絵画などの芸術品を何度も見て楽しむことをいう言葉。
朝生暮死, ちょうせいぼし, 命が短いこと。虫の蜉蝣などの成虫は寿命が一日しかなく、それらのことを言った言葉で、朝に生まれて、夜には死ぬということから、人生の儚さをいう言葉。
天災地変, てんさいちへん, 自然が変化することが原因で起こる様々な災いのこと。地震や台風、落雷、洪水、津波などの災害をいう。
頭髪上指, とうはつじょうし, 激しく怒り、髪の毛が逆立つこと。「上指」は上の方向を示すこと。
万世一系, ばんせいいっけい, 一つの血筋がいつまでも続いていくこと。「万世」は永遠、いつまでもという意味。「一系」は同じ家系のこと。
物我一体, もつがいったい, 仏教語で他の人と自分が一つになり、他者も自分もない境地のこと。
文章絶唱, ぶんしょうのぜっしょう, 非常にすぐれた文章や詩歌のこと。「絶唱」はこれ以上ないほどにすぐれた文章や詩歌のこと。
放言高論, ほうげんこうろん, 思ったことをそのまま言って、議論すること。「放言」は思いついたことを好き放題に言うこと。「高論」はすばらしい議論という意味。
末法思想, まっぽうしそう, 釈迦入滅から五百年を正法、そのあとの千年を像法、そのあとの一万年を末法といい、末法には仏の教えだけが残って悟りを開ける修行者がいなくなり、仏法が廃れ世の中が混乱するとされる歴史観のこと。
巻土重来, けんどちょうらい, 敗北や失敗によって一度は落ちた勢いを、再び取り戻して反撃することのたとえ。一度静まった土煙が、再び巻き上げられるという意味から。
浅学非才, せんがくひさい, 学問や知識が浅く、才能や能力が乏しいこと。自分のことを謙遜していう言葉。
普天卒土, ふてんそつど, 天の覆う限り、地の続く限りのすべての地。天下至る所。
青眼白眼, せいがんはくがん, 好き、嫌いで変わる目つき。親しい人には青眼（くろめ）を出し、嫌いな人には白眼（しろめ）をむく。
夜雨対床, やうたいしょう, 兄弟関係や友人関係が良好で、仲むつまじいことのたとえ。夜、雨の音を聞きながら、兄弟が寝台を並べて仲よく眠るという意味から。
十羊九牧, じゅうようきゅうぼく, 人口の割りに役人が多すぎることのたとえ。十頭の羊に九人の羊飼いという意味から。
広大無辺, こうだいむへん, 果てがないほど、広々としていること。「広大」は広くて大きいこと、「無辺」は果てがないこと。
七転八倒, しちてんばっとう, 激しい苦痛などで、ひどく苦しんで転げまわること。転んでは起き、起きては転ぶこと。
